,feature,importance,importance_pct
0,SMA_200,0.24854943844763244,24.854943844763252
1,SMA_50,0.20744165251837288,20.74416525183729
2,Volatility_20_Ann,0.13815409377843807,13.81540937784381
3,Price_to_SMA200,0.1324346986010071,13.243469860100713
4,MACD_Signal,0.06269476883848868,6.26947688384887
5,Price_to_SMA50,0.05734135004417146,5.734135004417147
6,MACD_Hist,0.0562016256378224,5.620162563782241
7,MACD,0.051831919317906296,5.18319193179063
8,RSI_14,0.036117808727143146,3.6117808727143155
9,Daily_Return,0.006043133138349292,0.6043133138349294
10,Volume_Change,0.00318951095066817,0.31895109506681707
