,fold,rmse,mae,r2,directional_accuracy,n_test
0,1,10.785090200232274,7.20033459167377,-0.2517784052166614,0.4696848424212106,20000
1,2,9.1487578795341,6.69791921741923,-0.07351862362847328,0.4836918459229615,20000
2,3,14.049247990650692,9.849039751532816,-0.09843414512273108,0.5072282527137212,20000
